,cov_grid,cov_pix
20230710_100620,0.0,0.0
20230710_100625,0.0,0.0
20230710_100701,0.0,0.0
20230710_101557,0.8008,0.7694244384765625
20230710_102342,1.7756,1.7465591430664062
20230710_102346,0.8200000000000001,0.7740020751953125
20230710_102445,0.2808,0.27294158935546875
20230710_102609,0.5368,0.5235671997070312
20230710_102612,0.49160000000000004,0.47092437744140625
20230710_103852,2.8256,2.6567459106445312
20230710_103905,1.7875999999999999,1.7129898071289062
20230710_103908,1.5864,1.5024185180664062
20230710_103941,1.9512,1.86614990234375
20230710_104107,0.4524,0.4520416259765625
20230710_104109,0.4176,0.41637420654296875
20230710_104141,0.6248,0.5933761596679688
20230710_104220,1.1176,1.0808944702148438
20230710_104223,7.0632,6.840324401855469
20230710_104234,4.3504000000000005,4.2530059814453125
20230710_104315,6.0904,5.904579162597656
20230710_104336,1.0432000000000001,1.0001182556152344
20230710_104342,0.5740000000000001,0.5552291870117188
20230710_104638,0.104,0.09670257568359375
20230710_104641,0.16,0.1506805419921875
20230710_123430,0.848,0.8399009704589844
20230710_123436,0.9915999999999999,0.95977783203125
20230710_123536,1.7828,1.7148971557617188
20230710_123540,0.34559999999999996,0.336456298828125
20230710_123603,0.1088,0.103759765625
20230710_123634,1.298,1.2484550476074219
20230710_125415,1.756,1.6894340515136719
20230710_125418,2.8272,2.70233154296875
20230710_125516,0.0,0.0
20230710_125525,1.872,1.8482208251953125
20230710_125935,1.4948,1.4399528503417969
20230710_125943,0.45199999999999996,0.4372596740722656
20230710_125957,1.4584,1.4352798461914062
20230710_130053,0.9587999999999999,0.9329795837402344
20230710_130116,1.0496,1.0090827941894531
20230710_130122,1.0156,0.9817123413085938
20230710_130141,0.7628,0.7616996765136719
20230710_130146,0.418,0.3972053527832031
20230710_130149,0.208,0.19941329956054688
20230710_130155,1.0976,1.080322265625
20230710_130158,6.7624,6.478595733642578
20230710_130331,0.5356,0.5118370056152344
20230710_130337,3.008,2.9872894287109375
20230710_130400,4.4864,4.369544982910156
20230710_130414,2.7692,2.696990966796875
20230710_130452,0.0,0.0
20230710_130521,6.062399999999999,5.8319091796875
20230710_130728,0.3264,0.30670166015625
20230710_130743,6.757199999999999,6.514263153076172
P7100006,1.7224,1.6205787658691406
P7100009,3.0168,2.861499786376953
P7100011,0.414,0.3777503967285156
P7100017,0.676,0.6258964538574219
P7100018,0.6859999999999999,0.60882568359375
P7100019,1.548,1.4229774475097656
P7100021,0.23640000000000003,0.22029876708984375
P7100022,0.0,0.0
P7100023,0.45599999999999996,0.43487548828125
P7100024,1.0964,1.045989990234375
P7100026,3.752,3.668498992919922
P7100027,1.288,1.2469291687011719
P7100028,0.6479999999999999,0.6093978881835938
P7100030,0.6472,0.6406784057617188
P7100031,0.8932000000000001,0.8571624755859375
P7100032,4.3276,4.184722900390625
P7100033,0.0704,0.0701904296875
P7100035,2.5631999999999997,2.5055885314941406
P7100036,0.9212,0.9059906005859375
P7100037,1.2376,1.2048721313476562
P7100038,1.1039999999999999,1.0730743408203125
P7100040,1.8155999999999999,1.7246246337890625
P7100041,0.9995999999999999,0.945281982421875
P7100042,0.24880000000000002,0.22869110107421875
P7100043,0.608,0.5656242370605469
P7100044,0.3516,0.3417015075683594
P7100045,0.8468,0.8230209350585938
P7100046,0.6988,0.6646156311035156
P7100047,4.793200000000001,4.667186737060547
P7100048,1.22,1.1926651000976562
P7100049,3.5332000000000003,3.418254852294922
P7100050,2.6892,2.606678009033203
P7100051,4.4392000000000005,4.3914794921875
P7100052,6.1208,5.917263031005859
P7100053,1.7492,1.6931533813476562
P7100054,0.9560000000000001,0.8907318115234375
P7100055,2.334,2.253246307373047
P7100056,2.19,2.158832550048828
P7100057,4.1015999999999995,3.796672821044922
P7100058,7.180000000000001,7.013130187988281
P7100059,3.5428,3.45306396484375
P7100060,0.5848,0.5724906921386719
P7100061,0.516,0.49648284912109375
P7100062,1.3516,1.2999534606933594
P7100063,3.9572000000000003,3.777599334716797
P7100064,3.6724,3.6157608032226562
P7100065,3.7476000000000003,3.547191619873047
P7100066,1.7368000000000001,1.6551017761230469
P7100067,0.2976,0.2838134765625
P7100068,1.1044,1.0557174682617188
P7100069,0.8612,0.8068084716796875
P7100070,0.788,0.765228271484375
P7100071,1.3192000000000002,1.3031005859375
P7100072,1.1103999999999998,1.0825157165527344
P7100073,1.146,1.0825157165527344
P7100074,2.3855999999999997,2.270793914794922
P7100075,3.9095999999999997,3.7733078002929688
P7100076,0.4588,0.4433631896972656
P7100077,0.41960000000000003,0.3765106201171875
P7100078,1.0,0.9728431701660156
P7100079,0.6936,0.6744384765625
P7100080,1.302,1.23443603515625
P7100081,1.3596000000000001,1.3165473937988281
P7100082,1.1159999999999999,1.05743408203125
P7100083,1.084,1.0251998901367188
P7100084,0.8708,0.81939697265625
P7100085,0.5888,0.5726814270019531
P7100086,2.7487999999999997,2.5740623474121094
P7100087,3.0752,2.9443740844726562
P7100088,1.3428,1.2750625610351562
P7100089,0.3292,0.3163337707519531
P7100091,7.7848,7.3604583740234375
P7100092,0.5724,0.5510330200195312
P7100093,0.178,0.17261505126953125
P7100094,1.7328,1.6680717468261719
P7100095,0.62,0.59661865234375
P7120097,1.0504,1.0140419006347656
P7120098,0.0508,0.045013427734375
P7120100,3.0444,2.8380393981933594
halimeda_1,13.420399999999999,13.306522369384766
halimeda_10,0.0,0.0
halimeda_100,1.0528,1.0163307189941406
halimeda_101,1.3296000000000001,1.2932777404785156
halimeda_102,2.576,2.4511337280273438
halimeda_103,3.5568000000000004,3.4789085388183594
halimeda_104,5.0492,4.922580718994141
halimeda_105,7.4136,7.231044769287109
halimeda_106,10.1056,10.0189208984375
halimeda_107,5.8104000000000005,5.636024475097656
halimeda_108,9.3864,9.045028686523438
halimeda_109,6.285200000000001,6.105899810791016
halimeda_11,0.0,0.0
halimeda_110,9.3156,9.127140045166016
halimeda_111,9.2924,9.060001373291016
halimeda_112,2.5919999999999996,2.5382041931152344
halimeda_113,5.5927999999999995,5.463504791259766
halimeda_114,3.6436,3.509807586669922
halimeda_115,8.072799999999999,7.684803009033203
halimeda_116,1.8396,1.7915725708007812
halimeda_117,2.5052000000000003,2.447795867919922
halimeda_118,0.9967999999999999,0.9713172912597656
halimeda_119,1.3216,1.25579833984375
halimeda_12,0.0,0.0
halimeda_120,0.40280000000000005,0.391387939453125
halimeda_121,1.6643999999999999,1.6088485717773438
halimeda_122,76.4256,76.3357162475586
halimeda_123,28.294000000000004,28.07159423828125
halimeda_124,14.8452,14.760971069335938
halimeda_125,49.592000000000006,49.471187591552734
halimeda_126,24.496000000000002,24.379253387451172
halimeda_127,10.388,10.141372680664062
halimeda_128,2.0436,2.0201683044433594
halimeda_129,14.706,14.659976959228516
halimeda_13,0.0,0.0
halimeda_130,27.8084,27.569103240966797
halimeda_131,6.3420000000000005,6.2625885009765625
halimeda_132,18.7804,18.700122833251953
halimeda_133,47.6636,47.53875732421875
halimeda_134,9.582799999999999,9.457588195800781
halimeda_135,7.6732,7.246208190917969
halimeda_136,0.0,0.0
halimeda_138,0.0,0.0
halimeda_139,1.9088,1.7995834350585938
halimeda_14,0.0,0.0
halimeda_140,0.6148,0.594329833984375
halimeda_141,2.002,1.8527984619140625
halimeda_142,2.0196,1.8890380859375
halimeda_143,3.408,3.222370147705078
halimeda_144,1.1428,1.0890960693359375
halimeda_145,0.51,0.4830360412597656
halimeda_146,0.0936,0.080108642578125
halimeda_147,3.588,3.4036636352539062
halimeda_148,1.5108,1.4368057250976562
halimeda_149,0.7688,0.7201194763183594
halimeda_15,5.5252,5.379676818847656
halimeda_150,1.054,0.9901046752929688
halimeda_151,1.2564,1.1676788330078125
halimeda_152,2.7592,2.689647674560547
halimeda_153,2.3044,2.2255897521972656
halimeda_154,0.8255999999999999,0.8082389831542969
halimeda_155,3.0444,2.907085418701172
halimeda_156,1.3972,1.2991905212402344
halimeda_157,2.7752,2.6645660400390625
halimeda_158,3.3528000000000002,3.13720703125
halimeda_159,0.0,0.0
halimeda_16,2.3047999999999997,2.1864891052246094
halimeda_160,1.6016,1.5141487121582031
halimeda_161,1.5208,1.424407958984375
halimeda_162,1.5675999999999999,1.4880180358886719
halimeda_163,0.23479999999999998,0.21514892578125
halimeda_164,2.0524,1.9109725952148438
halimeda_165,1.7608,1.5955924987792969
halimeda_166,0.6856,0.6432533264160156
halimeda_167,1.5568,1.45263671875
halimeda_168,0.7948000000000001,0.7353782653808594
halimeda_169,3.4168,3.1444549560546875
halimeda_17,3.6904,3.5851478576660156
halimeda_170,4.5028,4.198265075683594
halimeda_171,3.5839999999999996,3.406047821044922
halimeda_172,0.6728,0.652313232421875
halimeda_173,2.0436,1.8849372863769531
halimeda_174,4.476,4.2938232421875
halimeda_175,2.6488,2.5467872619628906
halimeda_176,1.5368,1.4727592468261719
halimeda_177,4.412,4.146480560302734
halimeda_178,8.1428,7.82470703125
halimeda_179,6.1988,5.986309051513672
halimeda_18,16.2776,15.8905029296875
halimeda_180,0.1936,0.19311904907226562
halimeda_181,1.2352,1.1649131774902344
halimeda_182,0.9991999999999999,0.9524345397949219
halimeda_183,1.1556,1.0497093200683594
halimeda_184,3.0036,2.7930259704589844
halimeda_185,3.4356,3.2576560974121094
halimeda_186,0.954,0.9030342102050781
halimeda_187,5.604,5.3737640380859375
halimeda_188,4.4956000000000005,4.198741912841797
halimeda_189,5.7448,5.483818054199219
halimeda_19,8.194799999999999,8.052730560302734
halimeda_190,3.58,3.3997535705566406
halimeda_191,16.802,16.204261779785156
halimeda_192,1.6028,1.4801979064941406
halimeda_193,2.1708000000000003,2.0801544189453125
halimeda_194,6.7143999999999995,6.385040283203125
halimeda_195,4.9444,4.754734039306641
halimeda_196,3.7272,3.6382675170898438
halimeda_197,2.4716,2.3154258728027344
halimeda_198,4.1992,4.001712799072266
halimeda_199,3.6255999999999995,3.433990478515625
halimeda_2,31.636799999999997,31.412315368652344
halimeda_20,5.4296,5.202770233154297
halimeda_200,0.902,0.84991455078125
halimeda_201,1.2428,1.1949539184570312
halimeda_202,2.0416,1.929473876953125
halimeda_203,0.7604,0.724029541015625
halimeda_204,1.1616,1.0704994201660156
halimeda_205,25.4592,25.25310516357422
halimeda_206,2.5208,2.4801254272460938
halimeda_207,3.4276,3.3321380615234375
halimeda_208,0.4288,0.3970146179199219
halimeda_209,2.1232,1.9840240478515625
halimeda_21,3.7900000000000005,3.7248611450195312
halimeda_210,1.0508,1.0068893432617188
halimeda_211,2.5596,2.4400711059570312
halimeda_212,3.6715999999999998,3.443431854248047
halimeda_213,6.5248,6.268024444580078
halimeda_214,5.614,5.349445343017578
halimeda_215,1.8296,1.7368316650390625
halimeda_216,5.0284,4.7931671142578125
halimeda_217,4.1276,3.963184356689453
halimeda_218,1.8207999999999998,1.7474174499511719
halimeda_219,2.5328,2.4036407470703125
halimeda_22,1.2648,1.2241363525390625
halimeda_220,4.4572,4.279994964599609
halimeda_221,1.926,1.89971923828125
halimeda_222,5.7144,5.506420135498047
halimeda_223,0.0,0.0
halimeda_224,0.0,0.0
halimeda_225,0.0,0.0
halimeda_226,0.0,0.0
halimeda_227,0.422,0.39348602294921875
halimeda_228,4.0196000000000005,3.7586212158203125
halimeda_229,0.0,0.0
halimeda_23,3.7456000000000005,3.6754608154296875
halimeda_230,1.6816000000000002,1.6505241394042969
halimeda_231,5.3628,5.10101318359375
halimeda_232,4.5868,4.3857574462890625
halimeda_233,0.07680000000000001,0.07867813110351562
halimeda_234,0.0,0.0
halimeda_235,0.0,0.0
halimeda_236,0.0,0.0
halimeda_237,0.0,0.0
halimeda_238,0.0,0.0
halimeda_239,0.0,0.0
halimeda_24,4.7516,4.665184020996094
halimeda_240,0.0,0.0
halimeda_241,0.104,0.09918212890625
halimeda_242,4.54,4.253196716308594
halimeda_243,4.4436,4.091167449951172
halimeda_244,7.31,6.849098205566406
halimeda_245,3.0448,2.8736114501953125
halimeda_246,3.6732,3.505420684814453
halimeda_247,2.1924,2.082538604736328
halimeda_248,1.51,1.4064788818359375
halimeda_249,9.1656,8.68082046508789
halimeda_25,1.0496,1.0369300842285156
halimeda_250,9.5928,9.123039245605469
halimeda_251,0.3572,0.33245086669921875
halimeda_252,4.7952,4.656505584716797
halimeda_253,4.478,4.218482971191406
halimeda_254,6.8172,6.444549560546875
halimeda_255,3.3812,3.274250030517578
halimeda_256,4.9315999999999995,4.752063751220703
halimeda_257,10.5464,10.088062286376953
halimeda_258,11.299199999999999,10.645580291748047
halimeda_259,9.024799999999999,8.570480346679688
halimeda_26,3.9356,3.81927490234375
halimeda_260,8.1332,7.743167877197266
halimeda_261,7.332,7.018852233886719
halimeda_262,8.2524,7.842445373535156
halimeda_263,12.3492,11.918163299560547
halimeda_264,18.5324,17.918014526367188
halimeda_265,1.7399999999999998,1.6571998596191406
halimeda_266,2.7024,2.601909637451172
halimeda_267,10.7544,10.280513763427734
halimeda_268,2.872,2.784442901611328
halimeda_269,1.484,1.4081954956054688
halimeda_27,3.9196,3.805255889892578
halimeda_270,0.6956,0.6460189819335938
halimeda_271,1.3639999999999999,1.3272285461425781
halimeda_272,2.9332000000000003,2.7710914611816406
halimeda_273,4.9604,4.76531982421875
halimeda_274,2.696,2.5604248046875
halimeda_275,0.0,0.0
halimeda_276,0.0,0.0
halimeda_277,0.0,0.0
halimeda_278,0.0,0.0
halimeda_279,0.0,0.0
halimeda_28,7.19,7.011890411376953
halimeda_280,0.0,0.0
halimeda_281,0.0,0.0
halimeda_282,0.0,0.0
halimeda_283,0.0,0.0
halimeda_284,0.0,0.0
halimeda_285,0.0,0.0
halimeda_286,0.0,0.0
halimeda_287,0.0,0.0
halimeda_288,0.0,0.0
halimeda_289,0.0,0.0
halimeda_29,5.3708,5.252361297607422
halimeda_291,0.0,0.0
halimeda_292,0.0,0.0
halimeda_295,0.0,0.0
halimeda_298,0.0,0.0
halimeda_3,9.5884,9.522724151611328
halimeda_30,2.8364000000000003,2.7268409729003906
halimeda_31,0.1368,0.130462646484375
halimeda_32,0.9900000000000001,0.9367942810058594
halimeda_33,5.099200000000001,4.976177215576172
halimeda_34,0.5084,0.5064010620117188
halimeda_35,0.0,0.0
halimeda_36,5.75,5.591773986816406
halimeda_37,1.008,0.9673118591308594
halimeda_38,1.9396,1.8812179565429688
halimeda_39,1.9008,1.8511772155761719
halimeda_4,3.7864,3.6651611328125
halimeda_40,2.9792,2.90069580078125
halimeda_41,2.3464,2.3120880126953125
halimeda_42,5.1516,4.998970031738281
halimeda_43,5.9732,5.80902099609375
halimeda_44,2.1843999999999997,2.103900909423828
halimeda_45,3.9468000000000005,3.8329124450683594
halimeda_46,4.2732,4.128837585449219
halimeda_47,0.8388,0.8160591125488281
halimeda_48,0.234,0.2109527587890625
halimeda_49,2.6324,2.5470733642578125
halimeda_5,19.1724,19.031333923339844
halimeda_50,1.0012,0.9487152099609375
halimeda_51,0.46759999999999996,0.4443168640136719
halimeda_52,2.6164,2.507305145263672
halimeda_53,0.0,0.0
halimeda_54,1.3728,1.3315200805664062
halimeda_55,2.194,2.0666122436523438
halimeda_56,0.8840000000000001,0.8376121520996094
halimeda_57,0.6876,0.6303787231445312
halimeda_58,0.7548,0.7071495056152344
halimeda_59,3.7699999999999996,3.5663604736328125
halimeda_6,0.0,0.0
halimeda_60,0.7752,0.7403373718261719
halimeda_61,0.248,0.23021697998046875
halimeda_62,0.4352,0.4147529602050781
halimeda_63,2.1271999999999998,1.9846916198730469
halimeda_64,0.30720000000000003,0.29735565185546875
halimeda_65,1.024,0.9386062622070312
halimeda_66,1.8756,1.7720222473144531
halimeda_67,2.4104,2.2912979125976562
halimeda_68,5.2032,4.936885833740234
halimeda_69,8.8104,8.475685119628906
halimeda_7,0.0,0.0
halimeda_70,13.1392,12.901973724365234
halimeda_71,1.7644,1.6695976257324219
halimeda_72,2.8808,2.7832984924316406
halimeda_73,2.9108,2.807140350341797
halimeda_74,1.4824,1.4014244079589844
halimeda_75,2.7308,2.556133270263672
