gt all test,,,,od all test,,,,
,cov_grid,cov_pix,,,cov_grid,cov_pix,diff,abs_diff
20230710_102342_cov,1.746749878,1.746749878,,20230710_102342_cov,1.828765869,1.828765869,0.082015991,0.082015991
20230710_104109_cov,0.416564941,0.416564941,,20230710_104109_cov,0.315093994,0.315093994,-0.101470947,0.101470947
20230710_123436_cov,0.960350037,0.960350037,,20230710_123436_cov,0.967502594,0.967502594,0.007152557,0.007152557
20230710_123536_cov,1.715087891,1.715087891,,20230710_123536_cov,1.56545639,1.56545639,-0.149631501,0.149631501
20230710_123540_cov,0.336456299,0.336456299,,20230710_123540_cov,0.349617004,0.349617004,0.013160705,0.013160705
20230710_130053_cov,0.933265686,0.933265686,,20230710_130053_cov,0.856018066,0.856018066,-0.07724762,0.07724762
20230710_130203_gt,16.45431519,16.45431519,,20230710_130203_cov,16.70093536,16.70093536,0.24662017,0.24662017
20230710_130337_cov,2.987289429,2.987289429,,20230710_130337_cov,2.579498291,2.579498291,-0.407791138,0.407791138
DSCN0021_gt,40.43083191,40.43083191,,DSCN0021_cov,11.89937592,11.89937592,-28.53145599,28.53145599
DSCN0023_gt,33.60347748,33.60347748,,DSCN0023_cov,14.9731636,14.9731636,-18.63031388,18.63031388
DSCN0025_gt,42.53320694,42.53320694,,DSCN0025_cov,9.296703339,9.296703339,-33.2365036,33.2365036
DSCN0034_gt,43.63689423,43.63689423,,DSCN0034_cov,16.18919373,16.18919373,-27.4477005,27.4477005
DSCN0040_gt,50.4450798,50.4450798,,DSCN0040_cov,19.08330917,19.08330917,-31.36177063,31.36177063
DSCN0051_gt,17.18435287,17.18435287,,DSCN0051_cov,18.31188202,18.31188202,1.12752915,1.12752915
DSCN0086_gt,34.56830978,34.56830978,,DSCN0086_cov,23.05030823,23.05030823,-11.51800155,11.51800155
DSCN0092_gt,67.47522354,67.47522354,,DSCN0092_cov,6.925296783,6.925296783,-60.54992676,60.54992676
DSCN0125_gt,53.29275131,53.29275131,,DSCN0125_cov,26.86796188,26.86796188,-26.42478943,26.42478943
DSCN0126_gt,40.35406113,40.35406113,,DSCN0126_cov,16.60852432,16.60852432,-23.74553681,23.74553681
DSCN0132_gt,38.9131546,38.9131546,,DSCN0132_cov,19.95458603,19.95458603,-18.95856857,18.95856857
DSCN0156_gt,35.83059311,35.83059311,,DSCN0156_cov,9.218978882,9.218978882,-26.61161423,26.61161423
DSCN0161_gt,82.93361664,82.93361664,,DSCN0161_cov,3.468132019,3.468132019,-79.46548462,79.46548462
DSCN0177_gt,44.00873184,44.00873184,,DSCN0177_cov,6.574821472,6.574821472,-37.43391037,37.43391037
DSCN0183_gt,23.68078232,23.68078232,,DSCN0183_cov,6.094932556,6.094932556,-17.58584976,17.58584976
DSCN0189_gt,52.94656754,52.94656754,,DSCN0189_cov,10.09664536,10.09664536,-42.84992218,42.84992218
