,cov_grid,cov_pix
halimeda_110,26.0,9.127140045166016
halimeda_154,8.0,0.8082389831542969
halimeda_155,26.0,2.907085418701172
halimeda_156,17.0,1.2991905212402344
halimeda_159,0.0,0.0
halimeda_169,41.0,3.1444549560546875
halimeda_172,5.0,0.652313232421875
halimeda_192,16.0,1.4801979064941406
halimeda_196,16.0,3.6382675170898438
halimeda_214,41.0,5.349445343017578
halimeda_217,33.0,3.963184356689453
halimeda_222,40.0,5.506420135498047
halimeda_229,0.0,0.0
halimeda_281,0.0,0.0
halimeda_282,0.0,0.0
halimeda_296,0.0,0.0
halimeda_49,15.0,2.5470733642578125
halimeda_52,15.0,2.507305145263672
halimeda_59,26.0,3.5663604736328125
halimeda_61,3.0,0.23021697998046875
halimeda_62,10.0,0.4147529602050781
halimeda_70,43.0,12.901973724365234
halimeda_74,22.0,1.4014244079589844
halimeda_85,33.0,6.747245788574219
halimeda_93,20.0,2.6335716247558594
halimeda_97,19.0,3.072643280029297
halimeda_98,16.0,2.7469635009765625
