               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11551,            0.088488,                   0,           0.0038889,            0.061404,           0.0022911,          0.00051501,             0.10495,            0.069657,                   0,            0.068638,           0.0010703,           0.0010703
                   1,             0.10544,            0.087795,                   0,              0.1003,             0.13353,            0.042096,           0.0092454,            0.094399,            0.067845,                   0,            0.036395,           0.0021605,           0.0021605
                   2,            0.098456,            0.083088,                   0,             0.12069,             0.22221,            0.061458,            0.016867,            0.086605,             0.07955,                   0,           0.0041417,           0.0032408,           0.0032408
                   3,            0.090179,            0.075808,                   0,             0.18906,             0.24464,             0.12278,            0.032551,            0.079972,            0.081081,                   0,           0.0032554,           0.0032554,           0.0032554
                   4,            0.080459,            0.072251,                   0,             0.23382,             0.36647,             0.16899,            0.049855,            0.070134,            0.062705,                   0,           0.0032554,           0.0032554,           0.0032554
                   5,            0.077651,            0.072039,                   0,             0.29686,             0.39766,             0.27111,            0.087388,             0.06864,            0.063097,                   0,           0.0032406,           0.0032406,           0.0032406
                   6,             0.07425,            0.079035,                   0,             0.34618,             0.38137,             0.29519,            0.092977,            0.065378,            0.064306,                   0,           0.0032257,           0.0032257,           0.0032257
                   7,            0.071651,              0.0641,                   0,             0.36068,             0.42495,             0.31957,             0.10715,            0.064261,            0.055704,                   0,           0.0032109,           0.0032109,           0.0032109
                   8,            0.071073,            0.072317,                   0,             0.34145,             0.44834,             0.28347,            0.095877,            0.064463,            0.055342,                   0,            0.003196,            0.003196,            0.003196
                   9,             0.06879,            0.070792,                   0,              0.4067,             0.45029,             0.34933,             0.11728,            0.060499,            0.060132,                   0,           0.0031812,           0.0031812,           0.0031812
                  10,            0.066471,            0.070884,                   0,             0.35568,             0.43567,             0.30842,            0.097087,            0.064604,            0.054487,                   0,           0.0031663,           0.0031663,           0.0031663
                  11,             0.06588,            0.074153,                   0,             0.48864,             0.45712,             0.41742,             0.12777,            0.061399,            0.053177,                   0,           0.0031515,           0.0031515,           0.0031515
                  12,            0.064854,            0.074742,                   0,             0.51933,             0.45808,              0.4389,             0.14407,             0.06001,            0.052604,                   0,           0.0031366,           0.0031366,           0.0031366
                  13,            0.064282,            0.071546,                   0,             0.53856,             0.49415,             0.48312,             0.14369,            0.058886,             0.05238,                   0,           0.0031218,           0.0031218,           0.0031218
                  14,              0.0621,            0.076823,                   0,             0.49368,             0.49805,             0.45325,             0.12718,            0.061699,             0.05332,                   0,           0.0031069,           0.0031069,           0.0031069
                  15,            0.061065,            0.066934,                   0,             0.62376,              0.4883,             0.52198,             0.19799,            0.056248,            0.051378,                   0,           0.0030921,           0.0030921,           0.0030921
                  16,            0.061658,            0.066761,                   0,             0.60012,             0.48441,             0.50856,             0.18689,            0.056721,            0.050645,                   0,           0.0030773,           0.0030773,           0.0030773
                  17,            0.059996,            0.070306,                   0,             0.56019,             0.50487,              0.4987,             0.18471,            0.055878,            0.051399,                   0,           0.0030624,           0.0030624,           0.0030624
                  18,            0.060864,            0.069221,                   0,             0.60696,             0.49219,             0.50924,             0.19052,            0.055398,            0.051306,                   0,           0.0030475,           0.0030475,           0.0030475
                  19,            0.059933,            0.067245,                   0,             0.60982,             0.50422,             0.52864,             0.20463,            0.055234,            0.051313,                   0,           0.0030327,           0.0030327,           0.0030327
                  20,            0.057545,            0.071886,                   0,             0.59692,             0.55859,             0.55039,             0.19826,            0.055781,            0.051454,                   0,           0.0030178,           0.0030178,           0.0030178
                  21,            0.058324,            0.068619,                   0,              0.6189,             0.53899,             0.55457,              0.2165,            0.053786,            0.051771,                   0,            0.003003,            0.003003,            0.003003
                  22,            0.058061,            0.067447,                   0,             0.61262,             0.53801,             0.55041,             0.20738,            0.054507,            0.052075,                   0,           0.0029881,           0.0029881,           0.0029881
                  23,             0.05658,            0.065625,                   0,             0.60039,             0.54386,             0.54731,             0.20194,            0.055346,            0.051933,                   0,           0.0029733,           0.0029733,           0.0029733
                  24,            0.057563,            0.071815,                   0,              0.6144,             0.54094,             0.56092,             0.21511,            0.053122,            0.050632,                   0,           0.0029585,           0.0029585,           0.0029585
                  25,            0.056806,            0.069249,                   0,             0.64779,             0.52703,             0.56522,             0.21267,            0.053967,            0.051252,                   0,           0.0029436,           0.0029436,           0.0029436
                  26,            0.057072,            0.074131,                   0,             0.58775,              0.5078,             0.52749,             0.19319,            0.055997,            0.052557,                   0,           0.0029287,           0.0029287,           0.0029287
