,cov_grid,cov_pix
20230710_100620,0.0,0.0
20230710_101557,0.8008,0.7694244384765625
20230710_104220,1.1176,1.0808944702148438
20230710_104315,6.0904,5.904579162597656
20230710_104336,1.0432000000000001,1.0001182556152344
20230710_123603,0.1088,0.103759765625
20230710_125935,1.4948,1.4399528503417969
20230710_125943,0.45199999999999996,0.4372596740722656
20230710_130155,1.0976,1.080322265625
20230710_130728,0.3264,0.30670166015625
P7100018,0.6859999999999999,0.60882568359375
P7100024,1.0964,1.045989990234375
P7100037,1.2376,1.2048721313476562
P7100038,1.1039999999999999,1.0730743408203125
P7100044,0.3516,0.3417015075683594
P7100046,0.6988,0.6646156311035156
P7100064,3.6724,3.6157608032226562
P7100069,0.8612,0.8068084716796875
P7100071,1.3192000000000002,1.3031005859375
P7100079,0.6936,0.6744384765625
P7100088,1.3428,1.2750625610351562
P7120098,0.0508,0.045013427734375
halimeda_1,13.420399999999999,13.306522369384766
halimeda_100,1.0528,1.0163307189941406
halimeda_106,10.1056,10.0189208984375
halimeda_109,6.285200000000001,6.105899810791016
halimeda_122,76.4256,76.3357162475586
halimeda_123,28.294000000000004,28.07159423828125
halimeda_127,10.388,10.141372680664062
halimeda_128,2.0436,2.0201683044433594
halimeda_129,14.706,14.659976959228516
halimeda_132,18.7804,18.700122833251953
halimeda_143,3.408,3.222370147705078
halimeda_145,0.51,0.4830360412597656
halimeda_158,3.3528000000000002,3.13720703125
halimeda_164,2.0524,1.9109725952148438
halimeda_168,0.7948000000000001,0.7353782653808594
halimeda_175,2.6488,2.5467872619628906
halimeda_178,8.1428,7.82470703125
halimeda_180,0.1936,0.19311904907226562
halimeda_182,0.9991999999999999,0.9524345397949219
halimeda_197,2.4716,2.3154258728027344
halimeda_198,4.1992,4.001712799072266
halimeda_2,31.636799999999997,31.412315368652344
halimeda_202,2.0416,1.929473876953125
halimeda_22,1.2648,1.2241363525390625
halimeda_225,0.0,0.0
halimeda_229,0.0,0.0
halimeda_234,0.0,0.0
halimeda_242,4.54,4.253196716308594
halimeda_247,2.1924,2.082538604736328
halimeda_248,1.51,1.4064788818359375
halimeda_251,0.3572,0.33245086669921875
halimeda_253,4.478,4.218482971191406
halimeda_257,10.5464,10.088062286376953
halimeda_258,11.299199999999999,10.645580291748047
halimeda_271,1.3639999999999999,1.3272285461425781
halimeda_272,2.9332000000000003,2.7710914611816406
halimeda_274,2.696,2.5604248046875
halimeda_278,0.0,0.0
halimeda_279,0.0,0.0
halimeda_283,0.0,0.0
halimeda_35,0.0,0.0
halimeda_54,1.3728,1.3315200805664062
halimeda_55,2.194,2.0666122436523438
halimeda_60,0.7752,0.7403373718261719
halimeda_63,2.1271999999999998,1.9846916198730469
halimeda_75,2.7308,2.556133270263672
halimeda_78,6.5296,6.365680694580078
halimeda_84,8.4968,8.257198333740234
halimeda_86,4.2872,4.183006286621094
halimeda_93,2.7588,2.6335716247558594
halimeda_94,1.6992,1.5955924987792969
