,cov_grid,cov_pix
20230710_102445,0.2808,0.27294158935546875
20230710_103837,4.1392,3.9081573486328125
20230710_103852,2.8256,2.6567459106445312
20230710_103908,1.5864,1.5024185180664062
20230710_104107,0.4524,0.4520416259765625
20230710_125415,1.756,1.6894340515136719
20230710_125525,1.872,1.8482208251953125
20230710_130146,0.418,0.3972053527832031
20230710_130158,6.7624,6.478595733642578
20230710_130414,2.7692,2.696990966796875
20230710_130521,6.062399999999999,5.8319091796875
P7100020,6.1776,5.820178985595703
P7100030,0.6472,0.6406784057617188
P7100047,4.793200000000001,4.667186737060547
P7100050,2.6892,2.606678009033203
P7100052,6.1208,5.917263031005859
P7100060,0.5848,0.5724906921386719
P7100066,1.7368000000000001,1.6551017761230469
P7100073,1.146,1.0825157165527344
P7100074,2.3855999999999997,2.270793914794922
P7100078,1.0,0.9728431701660156
P7100082,1.1159999999999999,1.05743408203125
P7100083,1.084,1.0251998901367188
P7100092,0.5724,0.5510330200195312
P7100094,1.7328,1.6680717468261719
P7120100,3.0444,2.8380393981933594
halimeda_101,1.3296000000000001,1.2932777404785156
halimeda_102,2.576,2.4511337280273438
halimeda_108,9.3864,9.045028686523438
halimeda_117,2.5052000000000003,2.447795867919922
halimeda_119,1.3216,1.25579833984375
halimeda_12,0.0,0.0
halimeda_124,14.8452,14.760971069335938
halimeda_13,0.0,0.0
halimeda_138,0.0,0.0
halimeda_142,2.0196,1.8890380859375
halimeda_148,1.5108,1.4368057250976562
halimeda_16,2.3047999999999997,2.1864891052246094
halimeda_165,1.7608,1.5955924987792969
halimeda_169,3.4168,3.1444549560546875
halimeda_170,4.5028,4.198265075683594
halimeda_171,3.5839999999999996,3.406047821044922
halimeda_189,5.7448,5.483818054199219
halimeda_193,2.1708000000000003,2.0801544189453125
halimeda_203,0.7604,0.724029541015625
halimeda_204,1.1616,1.0704994201660156
halimeda_207,3.4276,3.3321380615234375
halimeda_209,2.1232,1.9840240478515625
halimeda_210,1.0508,1.0068893432617188
halimeda_215,1.8296,1.7368316650390625
halimeda_218,1.8207999999999998,1.7474174499511719
halimeda_228,4.0196000000000005,3.7586212158203125
halimeda_231,5.3628,5.10101318359375
halimeda_235,0.0,0.0
halimeda_239,0.0,0.0
halimeda_246,3.6732,3.505420684814453
halimeda_249,9.1656,8.68082046508789
halimeda_250,9.5928,9.123039245605469
halimeda_26,3.9356,3.81927490234375
halimeda_261,7.332,7.018852233886719
halimeda_262,8.2524,7.842445373535156
halimeda_270,0.6956,0.6460189819335938
halimeda_286,0.0,0.0
halimeda_287,0.0,0.0
halimeda_29,5.3708,5.252361297607422
halimeda_37,1.008,0.9673118591308594
halimeda_44,2.1843999999999997,2.103900909423828
halimeda_58,0.7548,0.7071495056152344
halimeda_62,0.4352,0.4147529602050781
halimeda_64,0.30720000000000003,0.29735565185546875
halimeda_67,2.4104,2.2912979125976562
halimeda_69,8.8104,8.475685119628906
halimeda_97,3.1475999999999997,3.072643280029297
