               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10626,             0.15213,                   0,            0.015185,             0.29927,            0.051525,            0.013777,            0.094445,             0.13255,                   0,              0.0739,              0.0029,              0.0029
                   1,            0.094957,             0.12202,                   0,              0.2241,             0.26034,             0.17397,            0.042894,            0.086911,             0.12627,                   0,            0.046871,           0.0058708,           0.0058708
                   2,            0.089144,               0.106,                   0,            0.031862,             0.23844,            0.017208,           0.0043205,            0.099555,             0.10536,                   0,            0.019812,           0.0088119,           0.0088119
                   3,            0.091071,            0.092389,                   0,             0.22312,             0.29197,             0.15748,            0.040414,              0.1032,             0.10205,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.084584,             0.10135,                   0,              0.2364,             0.32847,             0.15977,            0.053202,            0.082729,            0.098353,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.075686,             0.11256,                   0,             0.26547,             0.32603,             0.17652,            0.045757,            0.082967,             0.11389,                   0,            0.009802,            0.009802,            0.009802
                   6,             0.06965,             0.10866,                   0,              0.3777,               0.381,             0.33982,             0.12654,              0.0663,             0.10398,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.066796,             0.10625,                   0,             0.39542,             0.40146,              0.3331,             0.11409,            0.069091,             0.10479,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.065079,             0.10677,                   0,             0.41232,             0.43309,             0.34978,             0.12644,            0.063893,             0.10847,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,             0.06046,             0.10222,                   0,             0.43368,             0.41119,             0.35653,              0.1261,            0.063415,             0.10884,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.059878,             0.10354,                   0,             0.44156,             0.43552,             0.37769,             0.11677,            0.063688,             0.11137,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.061152,            0.099062,                   0,             0.52431,             0.40876,             0.41634,             0.15218,            0.063261,             0.10697,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.058604,             0.10409,                   0,             0.56216,             0.42336,             0.45726,             0.18558,            0.058333,             0.10946,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.059207,             0.10239,                   0,             0.59016,             0.49635,             0.50411,             0.19263,            0.057192,             0.10516,                   0,            0.009406,            0.009406,            0.009406
                  14,             0.05676,             0.10263,                   0,             0.58861,             0.46715,             0.46718,             0.14477,            0.061909,             0.10355,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.055645,             0.10931,                   0,             0.55483,             0.57178,             0.53434,             0.19317,            0.056838,             0.10595,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.052841,            0.097728,                   0,             0.52536,             0.47668,             0.44244,             0.15667,             0.06329,             0.10466,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.055422,              0.1088,                   0,             0.58069,             0.55934,             0.56164,              0.1954,            0.056568,             0.11315,                   0,            0.009208,            0.009208,            0.009208
