,cov_grid,cov_pix
20230710_102342_grey,1.2468,1.2085914611816406
20230710_104109_grey,0.3136,0.304412841796875
20230710_123436_grey,0.9391999999999999,0.8945465087890625
20230710_123536_grey,1.7080000000000002,1.6681671142578125
20230710_123540_grey,0.3496,0.3261566162109375
20230710_130053_grey,1.2272,1.1914253234863281
20230710_130203_grey,23.1408,22.699832916259766
20230710_130337_grey,2.58,2.56805419921875
DSCN0021_grey,35.7124,35.25590896606445
DSCN0023_grey,46.8732,46.323394775390625
DSCN0025_grey,55.7748,55.298805236816406
DSCN0034_grey,41.072399999999995,40.72084426879883
DSCN0040_grey,56.220800000000004,55.57994842529297
DSCN0051_grey,18.4076,18.12295913696289
DSCN0086_grey,46.495599999999996,46.0606575012207
DSCN0092_grey,68.0528,67.74988174438477
DSCN0125_grey,58.267199999999995,57.55176544189453
DSCN0126_grey,42.0476,41.49465560913086
DSCN0132_grey,51.126000000000005,50.51746368408203
DSCN0156_grey,43.7224,43.146514892578125
DSCN0161_grey,98.2328,98.0621337890625
DSCN0177_grey,41.9408,41.23640060424805
DSCN0183_grey,29.9792,29.67681884765625
DSCN0189_grey,58.3664,57.9890251159668
DSCN0194_grey,76.60040000000001,76.04990005493164
DSCN0200_grey,34.6268,34.20858383178711
DSCN0202_grey,53.699200000000005,53.15370559692383
DSCN0203_grey,72.48400000000001,71.95425033569336
DSCN0212_grey,51.6748,51.32274627685547
DSCN0215_grey,68.426,67.84582138061523
DSCN0218_grey,83.844,83.51812362670898
DSCN0221_grey,72.0488,71.72136306762695
DSCN0229_grey,98.9968,98.84204864501953
DSCN0231_grey,96.866,96.70848846435547
DSCN0253_grey,50.846000000000004,50.34503936767578
DSCN0259_grey,98.1308,97.98822402954102
DSCN0274_grey,97.2388,97.03788757324219
DSCN0286_grey,17.308799999999998,17.051219940185547
DSCN0301_grey,12.610399999999998,12.37783432006836
DSCN0303_grey,14.7616,14.46981430053711
G0074875_grey,85.98,85.37607192993164
P7100016_grey,7.7296000000000005,7.403373718261719
P7100021_grey,0.1972,0.18482208251953125
P7100022_grey,0.4176,0.3968238830566406
P7100032_grey,5.2876,5.183315277099609
P7100033_grey,0.066,0.06580352783203125
P7100034_grey,8.4356,8.085918426513672
P7100035_grey,2.6684,2.602863311767578
P7100040_grey,1.4564000000000001,1.3635635375976562
P7100048_grey,1.6431999999999998,1.5837669372558594
P7100053_grey,1.8564,1.782989501953125
P7100070_grey,0.788,0.7457733154296875
P7100072_grey,0.91,0.8734703063964844
P7100075_grey,6.456,6.304264068603516
P7100085_grey,0.8044000000000001,0.7967948913574219
P7100089_grey,0.544,0.5146980285644531
P7120097_grey,1.1068,1.0754585266113281
P9290671_grey,71.6532,70.79792022705078
P9290672_grey,49.181599999999996,48.426055908203125
P9290674_grey,68.53479999999999,67.92049407958984
P9290685_grey,85.056,84.60092544555664
