,cov_grid,cov_pix
20230710_102342_cov,24.0444,22.914695739746094
20230710_104109_cov,54.325199999999995,53.060150146484375
20230710_123436_cov,3.3247999999999998,3.104400634765625
20230710_123536_cov,27.570800000000002,26.550579071044922
20230710_123540_cov,4.9732,4.633617401123047
20230710_130053_cov,2.7272000000000003,2.4976730346679688
20230710_130203_cov,23.308400000000002,22.66826629638672
20230710_130337_cov,2.7216,2.6726722717285156
DSCN0021_cov,36.024,35.157012939453125
DSCN0023_cov,43.3408,42.39063262939453
DSCN0025_cov,53.6416,52.817440032958984
DSCN0034_cov,40.3744,39.43357467651367
DSCN0040_cov,54.648399999999995,53.44104766845703
DSCN0051_cov,19.6716,19.29759979248047
DSCN0086_cov,46.504,45.851898193359375
DSCN0092_cov,65.24759999999999,64.64099884033203
DSCN0125_cov,55.4508,54.29821014404297
DSCN0126_cov,38.4716,37.38908767700195
DSCN0132_cov,47.662,46.64602279663086
DSCN0156_cov,46.9064,45.7127571105957
DSCN0161_cov,96.274,95.87669372558594
DSCN0177_cov,37.95,36.66400909423828
DSCN0183_cov,29.3448,28.67603302001953
DSCN0189_cov,56.784,56.03618621826172
DSCN0194_cov,69.25280000000001,68.20058822631836
DSCN0200_cov,35.748000000000005,34.700870513916016
DSCN0202_cov,51.259600000000006,50.20751953125
DSCN0203_cov,67.4276,66.38298034667969
DSCN0212_cov,48.6252,47.82896041870117
DSCN0215_cov,67.324,66.217041015625
DSCN0218_cov,79.61240000000001,78.95870208740234
DSCN0221_cov,70.04,69.40793991088867
DSCN0229_cov,96.806,96.27761840820312
DSCN0231_cov,93.7808,93.182373046875
DSCN0253_cov,48.6704,47.680091857910156
DSCN0259_cov,97.1932,96.856689453125
DSCN0274_cov,94.41760000000001,93.95990371704102
DSCN0286_cov,20.1252,19.729328155517578
DSCN0301_cov,12.6872,12.346935272216797
DSCN0303_cov,13.712,13.251495361328125
G0074875_cov,79.5092,78.20367813110352
P7100016_cov,11.0528,10.326957702636719
P7100021_cov,0.2404,0.22125244140625
P7100022_cov,0.9612,0.894927978515625
P7100032_cov,5.9568,5.741214752197266
P7100033_cov,6.711200000000001,6.429767608642578
P7100034_cov,8.8864,8.444499969482422
P7100035_cov,7.893999999999999,7.623863220214844
P7100040_cov,2.7567999999999997,2.5493621826171875
P7100048_cov,3.3640000000000003,3.2148361206054688
P7100053_cov,2.986,2.8814315795898438
P7100070_cov,2.9776000000000002,2.82440185546875
P7100072_cov,1.0948,1.0371208190917969
P7100075_cov,6.294,6.040000915527344
P7100085_cov,3.7948000000000004,3.5210609436035156
P7100089_cov,2.7876000000000003,2.5548934936523438
P7120097_cov,1.1079999999999999,1.0601997375488281
P9290671_cov,65.3708,63.87138366699219
P9290672_cov,45.7076,44.1899299621582
P9290674_cov,64.50919999999999,63.268375396728516
P9290685_cov,74.3188,73.04496765136719
