gt all test,,,,od all test,,,,,,SS all test,,,,,,w_merge,,,,,,AUC MERGE,,,,
,cov_grid,cov_pix,,,cov_grid,cov_pix,diff,abs_diff,,,cov_grid,cov_pix,diff,abs_diff,,,cov_grid,cov_pix,diff,abs_diff,,,cov_grid,cov_pix,diff,abs_diff
20230710_102342_cov,1.746749878,1.746749878,,20230710_102342_cov,1.828765869,1.828765869,0.082015991,0.082015991,,20230710_102342_grey,33.73060226,33.73060226,31.98385238,31.98385238,,20230710_102342_cov,21.57611847,21.57611847,19.82936859,19.82936859,,20230710_102342_grey,1.866722107,1.866722107,0.119972229,0.119972229
20230710_104109_cov,0.416564941,0.416564941,,20230710_104109_cov,0.315093994,0.315093994,-0.101470947,0.101470947,,20230710_104109_grey,64.55211639,64.55211639,64.13555145,64.13555145,,20230710_104109_cov,50.95510483,50.95510483,50.53853989,50.53853989,,20230710_104109_grey,0.315093994,0.315093994,-0.101470947,0.101470947
20230710_123436_cov,0.960350037,0.960350037,,20230710_123436_cov,0.967502594,0.967502594,0.007152557,0.007152557,,20230710_123436_grey,4.731845856,4.731845856,3.771495819,3.771495819,,20230710_123436_cov,3.075408936,3.075408936,2.115058899,2.115058899,,20230710_123436_grey,0.967502594,0.967502594,0.007152557,0.007152557
20230710_123536_cov,1.715087891,1.715087891,,20230710_123536_cov,1.56545639,1.56545639,-0.149631501,0.149631501,,20230710_123536_grey,34.77945328,34.77945328,33.06436539,33.06436539,,20230710_123536_cov,25.04863739,25.04863739,23.3335495,23.3335495,,20230710_123536_grey,1.689815521,1.689815521,-0.02527237,0.02527237
20230710_123540_cov,0.336456299,0.336456299,,20230710_123540_cov,0.349617004,0.349617004,0.013160705,0.013160705,,20230710_123540_grey,7.243824005,7.243824005,6.907367706,6.907367706,,20230710_123540_cov,4.13684845,4.13684845,3.800392151,3.800392151,,20230710_123540_grey,0.349617004,0.349617004,0.013160705,0.013160705
20230710_130053_cov,0.933265686,0.933265686,,20230710_130053_cov,0.856018066,0.856018066,-0.07724762,0.07724762,,20230710_130053_grey,4.631137848,4.631137848,3.697872162,3.697872162,,20230710_130053_cov,2.318096161,2.318096161,1.384830475,1.384830475,,20230710_130053_grey,1.119613647,1.119613647,0.186347961,0.186347961
20230710_130203_gt,16.45431519,16.45431519,,20230710_130203_cov,16.70093536,16.70093536,0.24662017,0.24662017,,20230710_130203_grey,22.7101326,22.7101326,6.25581741,6.25581741,,20230710_130203_cov,22.03330994,22.03330994,5.578994747,5.578994747,,20230710_130203_grey,22.89152145,22.89152145,6.43720626,6.43720626
20230710_130337_cov,2.987289429,2.987289429,,20230710_130337_cov,2.579498291,2.579498291,-0.407791138,0.407791138,,20230710_130337_grey,2.219676971,2.219676971,-0.767612458,0.767612458,,20230710_130337_cov,2.917098999,2.917098999,-0.07019043,0.07019043,,20230710_130337_grey,2.717399597,2.717399597,-0.269889832,0.269889832
DSCN0021_gt,40.43083191,40.43083191,,DSCN0021_cov,11.89937592,11.89937592,-28.53145599,28.53145599,,DSCN0021_grey,38.62714767,38.62714767,-1.80368424,1.80368424,,DSCN0021_cov,36.45963669,36.45963669,-3.971195222,3.971195222,,DSCN0021_grey,38.80262375,38.80262375,-1.62820816,1.62820816
DSCN0023_gt,33.60347748,33.60347748,,DSCN0023_cov,14.9731636,14.9731636,-18.63031388,18.63031388,,DSCN0023_grey,47.46599197,47.46599197,13.86251449,13.86251449,,DSCN0023_cov,41.87688828,41.87688828,8.273410795,8.273410795,,DSCN0023_grey,46.66032791,46.66032791,13.05685043,13.05685043
DSCN0025_gt,42.53320694,42.53320694,,DSCN0025_cov,9.296703339,9.296703339,-33.2365036,33.2365036,,DSCN0025_grey,58.64992142,58.64992142,16.11671448,16.11671448,,DSCN0025_cov,52.16169357,52.16169357,9.628486633,9.628486633,,DSCN0025_grey,55.02872467,55.02872467,12.49551773,12.49551773
DSCN0034_gt,43.63689423,43.63689423,,DSCN0034_cov,16.18919373,16.18919373,-27.4477005,27.4477005,,DSCN0034_grey,44.45962906,44.45962906,0.82273483,0.82273483,,DSCN0034_cov,40.98930359,40.98930359,-2.647590641,2.647590641,,DSCN0034_grey,42.56134033,42.56134033,-1.0755539,1.0755539
DSCN0040_gt,50.4450798,50.4450798,,DSCN0040_cov,19.08330917,19.08330917,-31.36177063,31.36177063,,DSCN0040_grey,59.73958969,59.73958969,9.29450989,9.29450989,,DSCN0040_cov,52.16245651,52.16245651,1.717376712,1.717376712,,DSCN0040_grey,55.64498901,55.64498901,5.19990921,5.19990921
DSCN0051_gt,17.18435287,17.18435287,,DSCN0051_cov,18.31188202,18.31188202,1.12752915,1.12752915,,DSCN0051_grey,15.20090103,15.20090103,-1.98345184,1.98345184,,DSCN0051_cov,21.11215591,21.11215591,3.927803044,3.927803044,,DSCN0051_grey,21.12007141,21.12007141,3.93571854,3.93571854
DSCN0086_gt,34.56830978,34.56830978,,DSCN0086_cov,23.05030823,23.05030823,-11.51800155,11.51800155,,DSCN0086_grey,43.92309189,43.92309189,9.35478211,9.35478211,,DSCN0086_cov,42.93527603,42.93527603,8.366966251,8.366966251,,DSCN0086_grey,45.16248703,45.16248703,10.59417725,10.59417725
DSCN0092_gt,67.47522354,67.47522354,,DSCN0092_cov,6.925296783,6.925296783,-60.54992676,60.54992676,,DSCN0092_grey,67.88444519,67.88444519,0.40922165,0.40922165,,DSCN0092_cov,65.64846039,65.64846039,-1.826763152,1.826763152,,DSCN0092_grey,67.50955582,67.50955582,0.03433228,0.03433228
DSCN0125_gt,53.29275131,53.29275131,,DSCN0125_cov,26.86796188,26.86796188,-26.42478943,26.42478943,,DSCN0125_grey,56.56299591,56.56299591,3.2702446,3.2702446,,DSCN0125_cov,54.84390259,54.84390259,1.551151278,1.551151278,,DSCN0125_grey,55.65977097,55.65977097,2.36701966,2.36701966
DSCN0126_gt,40.35406113,40.35406113,,DSCN0126_cov,16.60852432,16.60852432,-23.74553681,23.74553681,,DSCN0126_grey,42.29764938,42.29764938,1.94358825,1.94358825,,DSCN0126_cov,37.71181107,37.71181107,-2.642250064,2.642250064,,DSCN0126_grey,41.89147949,41.89147949,1.53741836,1.53741836
DSCN0132_gt,38.9131546,38.9131546,,DSCN0132_cov,19.95458603,19.95458603,-18.95856857,18.95856857,,DSCN0132_grey,50.87442398,50.87442398,11.96126938,11.96126938,,DSCN0132_cov,46.40569687,46.40569687,7.492542269,7.492542269,,DSCN0132_grey,50.48465729,50.48465729,11.57150269,11.57150269
DSCN0156_gt,35.83059311,35.83059311,,DSCN0156_cov,9.218978882,9.218978882,-26.61161423,26.61161423,,DSCN0156_grey,53.94239426,53.94239426,18.11180115,18.11180115,,DSCN0156_cov,46.02804184,46.02804184,10.19744873,10.19744873,,DSCN0156_grey,44.07548904,44.07548904,8.24489593,8.24489593
DSCN0161_gt,82.93361664,82.93361664,,DSCN0161_cov,3.468132019,3.468132019,-79.46548462,79.46548462,,DSCN0161_grey,98.26564789,98.26564789,15.33203125,15.33203125,,DSCN0161_cov,95.46556473,95.46556473,12.53194809,12.53194809,,DSCN0161_grey,98.06213379,98.06213379,15.12851715,15.12851715
DSCN0177_gt,44.00873184,44.00873184,,DSCN0177_cov,6.574821472,6.574821472,-37.43391037,37.43391037,,DSCN0177_grey,45.45583725,45.45583725,1.44710541,1.44710541,,DSCN0177_cov,36.48452759,36.48452759,-7.524204252,7.524204252,,DSCN0177_grey,41.2612915,41.2612915,-2.74744034,2.74744034
DSCN0183_gt,23.68078232,23.68078232,,DSCN0183_cov,6.094932556,6.094932556,-17.58584976,17.58584976,,DSCN0183_grey,32.94172287,32.94172287,9.26094055,9.26094055,,DSCN0183_cov,51.28889084,51.28889084,27.60810852,27.60810852,,DSCN0183_grey,29.69551086,29.69551086,6.01472854,6.01472854
DSCN0189_gt,52.94656754,52.94656754,,DSCN0189_cov,10.09664536,10.09664536,-42.84992218,42.84992218,,DSCN0189_grey,60.42470932,60.42470932,7.47814178,7.47814178,,DSCN0189_cov,55.28593063,55.28593063,2.339363094,2.339363094,,DSCN0189_grey,57.19518661,57.19518661,4.24861907,4.24861907
DSCN0194_gt,65.82622528,65.82622528,,DSCN0194_cov,4.288768768,4.288768768,-61.53745651,61.53745651,,DSCN0194_grey,77.21681595,77.21681595,11.39059067,11.39059067,,DSCN0194_cov,67.36593246,67.36593246,1.539707185,1.539707185,,DSCN0194_grey,76.11980438,76.11980438,10.2935791,10.2935791
DSCN0200_gt,28.08923721,28.08923721,,DSCN0200_cov,5.837249756,5.837249756,-22.25198745,22.25198745,,DSCN0200_grey,41.65735245,41.65735245,13.56811524,13.56811524,,DSCN0200_cov,34.24329758,34.24329758,6.154060367,6.154060367,,DSCN0200_grey,34.36050415,34.36050415,6.27126694,6.27126694
DSCN0202_gt,48.62470627,48.62470627,,DSCN0202_cov,6.623458862,6.623458862,-42.00124741,42.00124741,,DSCN0202_grey,56.15921021,56.15921021,7.53450394,7.53450394,,DSCN0202_cov,48.83613586,48.83613586,0.211429594,0.211429594,,DSCN0202_grey,52.96220779,52.96220779,4.33750152,4.33750152
DSCN0203_gt,67.91095734,67.91095734,,DSCN0203_cov,13.00563812,13.00563812,-54.90531922,54.90531922,,DSCN0203_grey,73.33269119,73.33269119,5.42173385,5.42173385,,DSCN0203_cov,65.93418121,65.93418121,-1.976776127,1.976776127,,DSCN0203_grey,71.97732925,71.97732925,4.06637191,4.06637191
